league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
GER-Bundesliga,2526,Augsburg,Aiman Dardari,3,2025,121,13981,S,3,21,0,0.05606662854552269,0,0.05606662854552269,0,0.0,1,0,1,0,0.05606662854552269,0.0
GER-Bundesliga,2526,Augsburg,Alexis Claude Maurice,3,2025,121,5752,F M S,20,1467,3,4.04233636893332,2,3.2845597062259912,4,2.2650800980627537,49,21,3,0,7.181927962228656,3.3476332100108266
GER-Bundesliga,2526,Augsburg,Anton Kade,3,2025,121,10288,D F M S,17,1009,2,2.7275722231715918,2,2.7275722231715918,0,1.418532907962799,21,15,3,0,4.630726084113121,1.0704953223466873
GER-Bundesliga,2526,Augsburg,Arne Maier,3,2025,121,5298,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
GER-Bundesliga,2526,Augsburg,Arthur Chaves,3,2025,121,13101,D S,7,462,1,0.20491288974881172,1,0.20491288974881172,0,0.11398930940777063,3,3,1,0,0.9511732943356037,0.8238789141178131
GER-Bundesliga,2526,Augsburg,Chrislain Matsima,3,2025,121,8643,D,14,1260,1,0.5306734442710876,1,0.5306734442710876,1,0.5844853427261114,6,4,5,0,2.1105283880606294,2.0164342606440187
GER-Bundesliga,2526,Augsburg,Cédric Zesiger,3,2025,121,11850,D S,17,898,0,0.6333467923104763,0,0.6333467923104763,0,0.24887346476316452,7,3,2,0,2.818826688453555,2.5774850975722075
GER-Bundesliga,2526,Augsburg,Dimitris Giannoulis,3,2025,121,9745,D S,18,1266,2,0.5891189090907574,2,0.5891189090907574,3,2.4652031678706408,7,22,5,0,3.6735095204785466,1.240327725186944
GER-Bundesliga,2526,Augsburg,Elias Saad,3,2025,121,12980,F M S,10,518,0,0.37165308371186256,0,0.37165308371186256,0,0.6210179030895233,6,12,1,0,1.412656469270587,0.5558570027351379
GER-Bundesliga,2526,Augsburg,Elvis Rexhbecaj,3,2025,121,6445,D M S,20,964,2,0.523274626582861,2,0.523274626582861,0,0.7069284673780203,10,9,3,0,1.8585716094821692,0.7254577931016684
GER-Bundesliga,2526,Augsburg,Fabian Rieder,3,2025,121,12038,F M S,21,1397,3,2.5733275562524796,2,1.815550897270441,2,2.1173593876883388,26,17,2,0,5.123925697058439,2.3060120046138763
GER-Bundesliga,2526,Augsburg,Finn Dahmen,3,2025,121,6596,GK,23,2070,0,0.0,0,0.0,0,0.2268968354910612,0,3,1,0,3.0455634389072657,2.8186665773391724
GER-Bundesliga,2526,Augsburg,Han-Noah Massengo,3,2025,121,7264,M S,23,1886,2,1.5277265030890703,2,1.5277265030890703,1,1.5851978715509176,15,15,1,0,7.896159818395972,4.9832567144185305
GER-Bundesliga,2526,Augsburg,Ismaël Gharbi,3,2025,121,9766,S,5,70,0,0.22596237063407898,0,0.22596237063407898,0,0.03212403133511543,3,1,0,0,0.1278797946870327,0.060474079102277756
GER-Bundesliga,2526,Augsburg,Jeffrey Gouweleeuw,3,2025,121,2665,D S,5,364,0,0.10657917894423008,0,0.10657917894423008,0,0.15101958625018597,2,2,2,0,0.3490478117018938,0.3490478117018938
GER-Bundesliga,2526,Augsburg,Keven Schlotterbeck,3,2025,121,7401,D S,18,1563,0,0.47259655222296715,0,0.47259655222296715,1,0.9451890103518963,10,11,4,1,4.410470623522997,4.137981617823243
GER-Bundesliga,2526,Augsburg,Kristijan Jakic,3,2025,121,9986,D M S,18,1264,1,0.5516607752069831,1,0.5516607752069831,1,1.2415047977119684,13,12,4,0,3.869108215905726,2.9682619580999017
GER-Bundesliga,2526,Augsburg,Mads Pedersen,3,2025,121,7809,D S,6,156,0,0.11341566778719425,0,0.11341566778719425,0,0.09671717509627342,2,3,0,0,0.8111366927623749,0.6741721704602242
GER-Bundesliga,2526,Augsburg,Marius Wolf,3,2025,121,2693,D F M S,19,628,1,1.5166842509061098,1,1.5166842509061098,0,0.6516025364398956,10,7,2,0,1.9418093785643578,0.6764521999284625
GER-Bundesliga,2526,Augsburg,Mert Kömür,3,2025,121,11604,F M S,20,1163,2,3.9007944650948048,2,3.9007944650948048,3,2.3302909079939127,33,18,1,0,6.090546570718288,1.4831573097035289
GER-Bundesliga,2526,Augsburg,Michael Gregoritsch,3,2025,121,171,F S,7,394,3,2.1770182866603136,2,1.4192416090518236,0,0.060972534120082855,11,1,2,0,1.3151921182870865,0.5144857168197632
GER-Bundesliga,2526,Augsburg,Noahkai Banks,3,2025,121,13149,D S,19,1490,1,1.1613576030358672,1,1.1613576030358672,0,0.16783225443214178,7,5,6,0,3.437884577549994,3.174520080909133
GER-Bundesliga,2526,Augsburg,Phillip Tietz,3,2025,121,11845,F S,18,862,2,5.0740888230502605,2,4.316312085837126,1,0.4620841210708022,26,8,3,0,5.8045371025800705,1.8239065278321505
GER-Bundesliga,2526,Augsburg,Robin Fellhauer,3,2025,121,13865,D M S,23,1903,1,1.0629137549549341,1,1.0629137549549341,1,1.3449342846870422,20,18,2,0,5.011437214910984,3.0321820974349976
GER-Bundesliga,2526,Augsburg,Rodrigo Ribeiro,3,2025,121,12418,F S,3,145,1,1.1120488196611404,1,1.1120488196611404,0,0.026682153344154358,7,1,1,0,1.7661080658435822,0.743400439620018
GER-Bundesliga,2526,Augsburg,Samuel Essende,3,2025,121,12922,F S,14,361,1,1.4566263109445572,1,1.4566263109445572,0,0.4276743633672595,17,4,2,0,1.6914420491084456,0.13694370351731777
GER-Bundesliga,2526,Augsburg,Uchenna Ogundu,3,2025,121,14455,S,1,6,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
