league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2526,2025-08-22 Bayern Munich-RasenBallsport Leipzig,3,2025,30224,2025-08-22 18:30:00,117,136,Bayern Munich,RasenBallsport Leipzig,RBL,BAY,6,0,3.29885,0.52226,True,True,https://understat.com/match/30224
GER-Bundesliga,2526,2025-08-23 Bayer Leverkusen-Hoffenheim,3,2025,30226,2025-08-23 13:30:00,119,120,Bayer Leverkusen,Hoffenheim,HOF,LEV,1,2,1.05253,0.505193,True,True,https://understat.com/match/30226
GER-Bundesliga,2526,2025-08-23 Eintracht Frankfurt-Werder Bremen,3,2025,30228,2025-08-23 13:30:00,132,123,Eintracht Frankfurt,Werder Bremen,WER,EIN,4,1,3.10684,0.587822,True,True,https://understat.com/match/30228
GER-Bundesliga,2526,2025-08-23 FC Heidenheim-Wolfsburg,3,2025,30225,2025-08-23 13:30:00,280,131,FC Heidenheim,Wolfsburg,WOL,HEI,1,3,0.783156,2.57718,True,True,https://understat.com/match/30225
GER-Bundesliga,2526,2025-08-23 Freiburg-Augsburg,3,2025,30229,2025-08-23 13:30:00,135,121,Freiburg,Augsburg,AUG,FRE,1,3,2.27247,1.30191,True,True,https://understat.com/match/30229
GER-Bundesliga,2526,2025-08-23 St. Pauli-Borussia Dortmund,3,2025,30230,2025-08-23 16:30:00,288,129,St. Pauli,Borussia Dortmund,DOR,SPA,3,3,1.46772,2.10289,True,True,https://understat.com/match/30230
GER-Bundesliga,2526,2025-08-23 Union Berlin-VfB Stuttgart,3,2025,30227,2025-08-23 13:30:00,240,133,Union Berlin,VfB Stuttgart,STU,UNI,2,1,0.529421,1.80147,True,True,https://understat.com/match/30227
GER-Bundesliga,2526,2025-08-24 Borussia M.Gladbach-Hamburger SV,3,2025,30232,2025-08-24 15:30:00,130,118,Borussia M.Gladbach,Hamburger SV,HAM,BMG,0,0,1.01717,0.285593,True,True,https://understat.com/match/30232
GER-Bundesliga,2526,2025-08-24 Mainz 05-FC Cologne,3,2025,30231,2025-08-24 13:30:00,125,134,Mainz 05,FC Cologne,COL,MAI,0,1,1.31655,1.64676,True,True,https://understat.com/match/30231
GER-Bundesliga,2526,2025-08-29 Hamburger SV-St. Pauli,3,2025,30233,2025-08-29 18:30:00,118,288,Hamburger SV,St. Pauli,SPA,HAM,0,2,0.74111,1.85404,True,True,https://understat.com/match/30233
GER-Bundesliga,2526,2025-08-30 Augsburg-Bayern Munich,3,2025,30238,2025-08-30 16:30:00,121,117,Augsburg,Bayern Munich,BAY,AUG,2,3,0.506028,3.37523,True,True,https://understat.com/match/30238
GER-Bundesliga,2526,2025-08-30 Hoffenheim-Eintracht Frankfurt,3,2025,30234,2025-08-30 13:30:00,120,132,Hoffenheim,Eintracht Frankfurt,EIN,HOF,1,3,1.28178,1.82087,True,True,https://understat.com/match/30234
GER-Bundesliga,2526,2025-08-30 RasenBallsport Leipzig-FC Heidenheim,3,2025,30235,2025-08-30 13:30:00,136,280,RasenBallsport Leipzig,FC Heidenheim,HEI,RBL,2,0,3.29717,0.969982,True,True,https://understat.com/match/30235
GER-Bundesliga,2526,2025-08-30 VfB Stuttgart-Borussia M.Gladbach,3,2025,30237,2025-08-30 13:30:00,133,130,VfB Stuttgart,Borussia M.Gladbach,BMG,STU,1,0,0.925105,1.60717,True,True,https://understat.com/match/30237
GER-Bundesliga,2526,2025-08-30 Werder Bremen-Bayer Leverkusen,3,2025,30236,2025-08-30 13:30:00,123,119,Werder Bremen,Bayer Leverkusen,LEV,WER,3,3,2.32676,2.03733,True,True,https://understat.com/match/30236
GER-Bundesliga,2526,2025-08-31 Borussia Dortmund-Union Berlin,3,2025,30240,2025-08-31 15:30:00,129,240,Borussia Dortmund,Union Berlin,UNI,DOR,3,0,1.82606,0.971167,True,True,https://understat.com/match/30240
GER-Bundesliga,2526,2025-08-31 FC Cologne-Freiburg,3,2025,30241,2025-08-31 17:30:00,134,135,FC Cologne,Freiburg,FRE,COL,4,1,1.84068,0.933072,True,True,https://understat.com/match/30241
GER-Bundesliga,2526,2025-08-31 Wolfsburg-Mainz 05,3,2025,30239,2025-08-31 13:30:00,131,125,Wolfsburg,Mainz 05,MAI,WOL,1,1,0.616661,1.81482,True,True,https://understat.com/match/30239
GER-Bundesliga,2526,2025-09-12 Bayer Leverkusen-Eintracht Frankfurt,3,2025,30242,2025-09-12 18:30:00,119,132,Bayer Leverkusen,Eintracht Frankfurt,EIN,LEV,3,1,2.31465,0.791863,True,True,https://understat.com/match/30242
GER-Bundesliga,2526,2025-09-13 Bayern Munich-Hamburger SV,3,2025,30248,2025-09-13 16:30:00,117,118,Bayern Munich,Hamburger SV,HAM,BAY,5,0,3.03718,0.559174,True,True,https://understat.com/match/30248
GER-Bundesliga,2526,2025-09-13 FC Heidenheim-Borussia Dortmund,3,2025,30244,2025-09-13 13:30:00,280,129,FC Heidenheim,Borussia Dortmund,DOR,HEI,0,2,0.299026,2.84999,True,True,https://understat.com/match/30244
GER-Bundesliga,2526,2025-09-13 Freiburg-VfB Stuttgart,3,2025,30243,2025-09-13 13:30:00,135,133,Freiburg,VfB Stuttgart,STU,FRE,3,1,1.6832,0.548804,True,True,https://understat.com/match/30243
GER-Bundesliga,2526,2025-09-13 Mainz 05-RasenBallsport Leipzig,3,2025,30245,2025-09-13 13:30:00,125,136,Mainz 05,RasenBallsport Leipzig,RBL,MAI,0,1,0.770276,1.5009,True,True,https://understat.com/match/30245
GER-Bundesliga,2526,2025-09-13 Union Berlin-Hoffenheim,3,2025,30247,2025-09-13 13:30:00,240,120,Union Berlin,Hoffenheim,HOF,UNI,2,4,3.0814,3.34084,True,True,https://understat.com/match/30247
GER-Bundesliga,2526,2025-09-13 Wolfsburg-FC Cologne,3,2025,30246,2025-09-13 13:30:00,131,134,Wolfsburg,FC Cologne,COL,WOL,3,3,1.79835,1.72631,True,True,https://understat.com/match/30246
GER-Bundesliga,2526,2025-09-14 Borussia M.Gladbach-Werder Bremen,3,2025,30250,2025-09-14 15:30:00,130,123,Borussia M.Gladbach,Werder Bremen,WER,BMG,0,4,1.58932,2.24671,True,True,https://understat.com/match/30250
GER-Bundesliga,2526,2025-09-14 St. Pauli-Augsburg,3,2025,30249,2025-09-14 13:30:00,288,121,St. Pauli,Augsburg,AUG,SPA,2,1,1.95499,0.934223,True,True,https://understat.com/match/30249
GER-Bundesliga,2526,2025-09-19 VfB Stuttgart-St. Pauli,3,2025,30251,2025-09-19 18:30:00,133,288,VfB Stuttgart,St. Pauli,SPA,STU,2,0,2.78829,1.05657,True,True,https://understat.com/match/30251
GER-Bundesliga,2526,2025-09-20 Augsburg-Mainz 05,3,2025,30253,2025-09-20 13:30:00,121,125,Augsburg,Mainz 05,MAI,AUG,1,4,0.870451,2.57047,True,True,https://understat.com/match/30253
GER-Bundesliga,2526,2025-09-20 Hamburger SV-FC Heidenheim,3,2025,30254,2025-09-20 13:30:00,118,280,Hamburger SV,FC Heidenheim,HEI,HAM,2,1,3.32157,2.63607,True,True,https://understat.com/match/30254
GER-Bundesliga,2526,2025-09-20 Hoffenheim-Bayern Munich,3,2025,30255,2025-09-20 13:30:00,120,117,Hoffenheim,Bayern Munich,BAY,HOF,1,4,1.03716,2.7142,True,True,https://understat.com/match/30255
GER-Bundesliga,2526,2025-09-20 RasenBallsport Leipzig-FC Cologne,3,2025,30256,2025-09-20 16:30:00,136,134,RasenBallsport Leipzig,FC Cologne,COL,RBL,3,1,3.79591,1.39264,True,True,https://understat.com/match/30256
